O*NET-SOC Code,Title,Description,Task ID,Task,Task Type,Incumbents Responding,importance,relevance,frequency_weighted_mean,frequency_response_mass,task_intensity,n_dwa_links,dwa_element_ids,Date,Domain Source
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8842,Nominate citizens to boards or commissions.,Supplemental,94.0,4.07,27.05,2.1474,99.99999999999999,1.100935,1,4.A.4.c.2.a.6,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,95.0,3.98,56.65,2.2323232323232327,99.99,2.25467,2,4.A.1.a.1.c.6; 4.A.4.a.3.a.1,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,94.0,3.9,27.31,2.9133999999999998,100.0,1.0650899999999999,1,4.A.4.b.4.h.2,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,94.0,3.88,52.57,2.2931000000000004,99.99999999999999,2.039716,1,4.A.2.b.4.b.1,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,94.0,3.81,47.82,2.1171,99.99999999999999,1.821942,1,4.A.4.b.1.c.4,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Supplemental,94.0,3.81,62.05,2.6797,100.00000000000001,2.364105,2,4.A.2.a.4.i.3; 4.A.4.b.6.h.4,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,94.0,3.78,56.74,3.2614261426142606,99.99000000000001,2.144772,2,4.A.4.b.4.j.17; 4.A.4.b.4.j.3,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,94.0,3.7,57.44,2.697,100.0,2.12528,1,4.A.4.b.6.e.7,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Supplemental,94.0,3.66,58.3,2.7765776577657766,99.99,2.13378,2,4.A.1.a.1.r.3; 4.A.1.a.1.t.4,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Supplemental,94.0,3.51,58.06,2.4389000000000003,99.99999999999999,2.037906,1,4.A.4.b.4.i.7,08/2023,Incumbent
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,94.0,3.42,63.86,2.5794,100.0,2.184012,2,4.A.4.a.6.c.12; 4.A.4.b.1.c.9,08/2023,Incumbent
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15382,Monitor and evaluate effectiveness of sustainability programs.,Core,27.0,4.38,96.3,3.0770922907709233,100.00999999999999,4.21794,1,4.A.2.a.1.b.1,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,27.0,4.37,100.0,3.9629000000000003,99.99999999999999,4.37,2,4.A.2.b.1.i.1; 4.A.2.b.2.q.3,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,27.0,4.33,100.0,3.4071999999999996,100.0,4.33,2,4.A.2.b.2.q.3; 4.A.4.b.4.g.3,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15372,Supervise employees or volunteers working on sustainability projects.,Core,27.0,4.22,100.0,5.518500000000001,99.99999999999999,4.22,1,4.A.4.b.4.a.19,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,27.0,4.04,100.0,2.8146999999999998,100.0,4.04,2,4.A.3.b.6.o.6; 4.A.4.a.3.b.2,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,27.0,3.93,100.0,3.2961296129612956,99.99000000000001,3.93,2,4.A.2.b.2.c.2; 4.A.4.b.1.e.6,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,27.0,3.88,96.3,2.7307,100.0,3.73644,2,4.A.1.b.1.b.1; 4.A.2.a.1.b.1,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,27.0,3.85,100.0,3.296129612961296,99.99,3.85,2,4.A.2.b.5.a.4; 4.A.3.b.6.h.4,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15375,Formulate or implement sustainability campaign or marketing strategies.,Core,27.0,3.74,100.0,2.925785157031406,99.98,3.74,1,4.A.2.b.2.c.2,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,27.0,3.74,100.0,3.2593,100.0,3.74,1,4.A.1.a.1.j.6,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,27.0,3.65,85.19,2.7825782578257834,99.98999999999998,3.1094349999999995,1,4.A.4.b.4.j.39,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,27.0,3.52,92.59,2.92,100.0,3.2591680000000003,2,4.A.2.a.1.j.2; 4.A.2.a.4.e.7,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,27.0,3.52,100.0,2.4444,100.0,3.52,1,4.A.3.b.2.f.13,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,27.0,3.48,92.59,2.56,100.0,3.222132,1,4.A.2.a.3.b.2,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15373,Write and distribute financial or environmental impact reports.,Core,27.0,3.33,88.89,1.8333999999999997,100.0,2.960037,1,4.A.3.b.6.a.2,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,27.0,3.33,100.0,2.2222,100.0,3.33,1,4.A.3.b.6.g.4,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,27.0,3.19,100.0,2.5183518351835184,99.99000000000001,3.19,2,4.A.2.a.1.d.5; 4.A.4.b.2.a.5,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",15369,Conduct risk assessments related to sustainability and the environment.,Core,27.0,3.13,85.19,1.9131000000000002,99.99999999999999,2.666447,2,4.A.2.a.4.c.2; 4.A.2.a.4.e.7,08/2021,Occupational Expert
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,82.0,4.18,97.14,4.1539,100.0,4.060452,2,4.A.2.a.4.g.12; 4.A.2.a.4.k.7,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,82.0,4.14,79.9,4.876200000000001,100.0,3.30786,2,4.A.4.b.4.j.3; 4.A.4.b.4.j.39,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20700,Direct administrative activities directly related to making products or providing services.,Core,82.0,4.01,85.81,4.6819000000000015,99.99999999999999,3.440981,1,4.A.4.b.4.j.39,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20701,Prepare staff work schedules and assign specific duties.,Core,82.0,3.98,86.29,4.7091581683663275,100.02,3.4343420000000004,1,4.A.4.b.1.f.2,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,82.0,3.9,82.52,3.3008999999999995,99.99999999999999,3.2182799999999996,1,4.A.4.b.4.h.2,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20706,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",Core,82.0,3.83,71.86,4.2358,100.0,2.7522379999999997,2,4.A.2.b.2.c.3; 4.A.4.b.4.j.3,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20705,"Perform personnel functions, such as selection, training, or evaluation.",Core,82.0,3.79,95.77,3.21967803219678,100.01,3.629683,2,4.A.4.b.3.d.16; 4.A.4.c.2.a.3,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,82.0,3.74,88.62,3.3497650234976506,100.01,3.314388,3,4.A.2.b.1.i.1; 4.A.2.b.2.v.2; 4.A.2.b.4.a.1,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,82.0,3.44,75.67,3.2182999999999993,100.0,2.603048,1,4.A.1.a.2.f.1,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,82.0,4.03,46.73,4.68026802680268,99.99,1.883219,1,4.A.4.b.4.j.39,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",20707,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",Supplemental,81.0,4.01,49.24,4.540799999999999,100.0,1.9745240000000002,1,4.A.2.b.4.a.6,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,82.0,3.87,59.07,4.812318768123188,100.01,2.286009,1,4.A.4.a.3.c.9,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,81.0,3.57,51.98,2.8987,100.00000000000001,1.8556859999999997,2,4.A.2.b.1.i.1; 4.A.2.b.2.c.3,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,82.0,3.53,51.13,3.9529952995299524,99.99,1.804889,2,4.A.4.b.4.j.3; 4.A.4.b.4.j.39,08/2023,Incumbent
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,82.0,3.1,56.52,2.7904,100.0,1.7521200000000001,2,4.A.2.b.1.i.1; 4.A.4.b.4.j.7,08/2023,Incumbent
