O*NET-SOC Code,Title,Description,ai_exposure_score,workforce_strategy_category,digital_intensity,cognitive_complexity,human_interaction,physical_work
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",0.6790699262582399,Mixed / Transitional,0.7549956876391862,0.7364268624688907,0.5692365437642508,0.20590630131086643
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",0.6730232327004424,Mixed / Transitional,0.76305651266604,0.6741795566333175,0.5729606938796771,0.17218244461791068
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",0.7033705726716537,Human-Centered Protected,0.7715871919308078,0.7614806658084083,0.6379457726998246,0.08163979435277652
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",0.7389952383449845,Mixed / Transitional,0.7572866740184194,0.735040542248938,0.4987900732828328,0.037556189604586676
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",0.5718672124887734,Mixed / Transitional,0.7186045114588652,0.7044652709190319,0.5776751699937975,0.5579257624290059
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",0.643924958026922,Mixed / Transitional,0.8838809244900615,0.6773375993872321,0.615929044115438,0.36958964765416813
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,0.6114696091614367,Human-Centered Protected,0.7521443804145873,0.6850639103748142,0.6788618182899765,0.3124680358536782
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",0.6207762941854893,Mixed / Transitional,0.6830836741028072,0.6438575577699436,0.5147668510716837,0.3290692040591101
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",0.634402938197474,Mixed / Transitional,0.8054045394927862,0.6714584681979434,0.5653750469925675,0.37387620790826626
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,0.6023133813938814,Human-Centered Protected,0.728089917371448,0.6552743874265284,0.6461788258429998,0.32793195337945136
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",0.6624015038844777,AI-Augmentable Knowledge Work,0.7796126169808325,0.6963232433325273,0.62413811373187,0.20219173104357888
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",0.6082586883314937,Mixed / Transitional,0.6818157112963829,0.6709926611860841,0.5681747389110078,0.3515988802454846
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",0.633526117672829,Mixed / Transitional,0.6533569905299698,0.6914447964127983,0.5731902504927919,0.23750706575866057
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",0.6508575995627356,Mixed / Transitional,0.7400915822430857,0.6078830502708996,0.6291301135125921,0.11541412075045085
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",0.6381339445676826,Human-Centered Protected,0.7582585642913641,0.769478257932019,0.755069015205109,0.22013202874754373
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",0.6693286191456946,AI-Augmentable Knowledge Work,0.8071094595889597,0.7108798296033992,0.6644749794960708,0.17619983311350973
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",0.5308063269682082,Mixed / Transitional,0.5789011847192246,0.6948461569570161,0.5343374088942536,0.6161846249091545
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",0.551019500630684,Human-Centered Protected,0.7271555725284737,0.6894992845244741,0.6512225168273241,0.5613543377028882
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",0.5239370009637119,Human-Centered Protected,0.6026041510227375,0.6893224137761746,0.7527651938745378,0.44341336706952694
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",0.6201431253905031,Human-Centered Protected,0.7615614894021766,0.8664643104896866,0.8519565418495411,0.29549675648031004
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",0.6754912167538032,Mixed / Transitional,0.6699806766187085,0.7794706387580322,0.6220995139586857,0.12538693440284243
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",0.6668221178277438,Mixed / Transitional,0.7737787723145004,0.7195128236236827,0.6147571285571157,0.2112459960700923
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",0.6472647528283979,AI-Augmentable Knowledge Work,0.8257681079820869,0.7002902578097441,0.5456370762084756,0.3913622782697639
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",0.45868877677820613,Physical / Field Protected,0.5403813614473513,0.5734824571044514,0.577603368379572,0.701505343059406
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",0.6145594169707198,Mixed / Transitional,0.7030188671149235,0.6457486483921586,0.5791485927454647,0.311381254878738
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",0.49322195099380006,Human-Centered Protected,0.6871900714149834,0.6385203098065838,0.7122880021339876,0.6405345751123792
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",0.5451906681117102,Human-Centered Protected,0.6660523519172484,0.6514691123671639,0.7216791169970559,0.41507967484051567
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",0.6329102239268656,AI-Augmentable Knowledge Work,0.8257659625289459,0.7223180189314757,0.7391389755002068,0.27730411025275226
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",0.650399615987028,AI-Augmentable Knowledge Work,0.8234910670482712,0.7407299586122911,0.5919797795531545,0.3706427821592958
11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",0.5945345022380513,Human-Centered Protected,0.7736264451414784,0.6197940001293473,0.6430818226070113,0.3722006137116094
11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",0.6873632313124274,Mixed / Transitional,0.7546688636106831,0.7087335370040919,0.5171647320203371,0.19678474334472826
11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",0.5916795220195881,Human-Centered Protected,0.7437517253019011,0.656798196950338,0.6526442483753891,0.381187585798498
11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",0.61621867767816,Mixed / Transitional,0.6680901748258251,0.5874198491591379,0.6122114485042148,0.17842386476810848
11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",0.5909719450403423,Human-Centered Protected,0.7107099590504511,0.6928746046997495,0.7405527497808585,0.29914403380797283
11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",0.5950826545751398,Human-Centered Protected,0.7762299525282735,0.767754209534034,0.7565749994426186,0.40707854431913004
11-9171.00,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",0.4731368794421165,Human-Centered Protected,0.8113764083111995,0.5547604714594112,0.7251539228484205,0.748435439153724
11-9179.01,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",0.4440879927528384,Human-Centered Protected,0.5889440508729848,0.6172030592939741,0.7130109341543941,0.7167842050012112
11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",0.5240150910650891,Human-Centered Protected,0.6725992021774919,0.6516241408778571,0.7746758586636369,0.4534871201313557
11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",0.7032427396057379,Mixed / Transitional,0.826103156247631,0.6815808508345671,0.591266977221062,0.10344607143818471
11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",0.654373508019024,AI-Augmentable Knowledge Work,0.8662781966179076,0.6985530878639918,0.7088275218467336,0.23850973055906968
11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",0.6263910177690014,Human-Centered Protected,0.7700202959867154,0.7143971773651793,0.6591917511763223,0.3196616510995667
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",0.49218875943830365,Human-Centered Protected,0.7625712826806149,0.6771686276524421,0.7148679443679504,0.7561169282118919
11-9199.10,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",0.6462862962688174,Mixed / Transitional,0.6709590032510766,0.7046755368435835,0.5299378220862261,0.2605515329331646
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,0.66196651233027,Mixed / Transitional,0.7472602563387413,0.7193149926258966,0.5518826000903826,0.2668265995531749
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",0.6099619717981855,Mixed / Transitional,0.45440268439097026,0.5903179465573286,0.46989320080920316,0.1349795429463541
13-1021.00,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",0.6232677715315887,Mixed / Transitional,0.6412798772228682,0.6036011787436627,0.5239796287995578,0.22783034104061797
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",0.5811495355299835,Mixed / Transitional,0.6648369527127823,0.5656129372808908,0.5308887589905328,0.37496298888320634
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",0.6726305765065951,Mixed / Transitional,0.7854557586107762,0.6651380555346289,0.5706822588390592,0.18938924927996553
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,0.6854832697236685,AI-Augmentable Knowledge Work,0.8359886891710397,0.683260570857189,0.6218358441305134,0.15548033700304162
13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,0.5985804737891004,Human-Centered Protected,0.825844986719645,0.511036007376778,0.6386810068294458,0.3038780921105757
13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",0.6060014324438147,Mixed / Transitional,0.8352485078373403,0.5864349038972024,0.5752529827587243,0.4224246992005598
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",0.6328149351709813,Mixed / Transitional,0.8116674747873498,0.6645394824218149,0.5528009755088468,0.3921462410163925
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",0.6813459382199492,Mixed / Transitional,0.7561288444732414,0.6909538299790197,0.6050129642631051,0.1166859573093591
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,0.6023035894605502,Mixed / Transitional,0.7219886062135185,0.6936749184143938,0.5503510805969146,0.456098086188797
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",0.5180969460382276,AI-Augmentable Knowledge Work,0.8762509779690567,0.7372840053260337,0.8123949448287022,0.7287522543134775
13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",0.6809195009244877,Mixed / Transitional,0.6884515978619845,0.655893776004635,0.5455886374293075,0.07507873273936097
13-1041.08,Customs Brokers,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,0.676301020231279,Mixed / Transitional,0.8147000728023764,0.5818223156887424,0.5340614369568669,0.15725687060913568
13-1051.00,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",0.6995334061401594,Mixed / Transitional,0.7830785965303733,0.6603414468665433,0.5182407134716859,0.12704570536459314
13-1071.00,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",0.5969820315403349,Human-Centered Protected,0.7970951994770816,0.5993681111932561,0.7428290124005757,0.2657061721084224
13-1074.00,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",0.48672197088435665,Mixed / Transitional,0.3595747282783597,0.2901566081410755,0.3492224198007996,0.35362103308120907
13-1075.00,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",0.6480477607344338,Mixed / Transitional,0.6147166643066683,0.692416551917205,0.6125828828228937,0.10235929046324457
13-1081.00,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",0.6840045666155583,Mixed / Transitional,0.7569244500130873,0.7317231558912026,0.5450474439345337,0.20758189550752332
13-1081.01,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",0.6705177013176352,Mixed / Transitional,0.7436977313978486,0.7343255717624941,0.5457943594816835,0.2501581384081182
13-1081.02,Logistics Analysts,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",0.6656857204794804,Mixed / Transitional,0.7991380284429873,0.6650424022573411,0.5693206474876908,0.2321169012947161
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",0.6818577149569405,AI-Augmentable Knowledge Work,0.7872851149891368,0.7439098556661696,0.628684705158787,0.1750794056687572
13-1121.00,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",0.5521606185748338,Human-Centered Protected,0.7532714584647423,0.7094472701295578,0.6718173648976405,0.5822588893973244
13-1131.00,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",0.6630540419932011,Mixed / Transitional,0.7203712921206087,0.6828816765083481,0.6125950359661039,0.13844176469004868
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",0.6534218784154386,Mixed / Transitional,0.7295856557863587,0.6036867994419939,0.5613254061570531,0.15825953540954482
13-1151.00,Training and Development Specialists,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.,0.6080407172747424,Human-Centered Protected,0.6875208287742454,0.6702719053271483,0.6975135289684009,0.2281163360340233
13-1161.00,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",0.7648234916681445,AI-Augmentable Knowledge Work,0.8461978279432399,0.7474164150130332,0.46824533886612935,0.06607493741756615
13-1161.01,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",0.7506711122864458,AI-Augmentable Knowledge Work,0.8087382160986222,0.687750577902719,0.46267463098513745,0.03112971387042071
13-1199.04,Business Continuity Planners,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",0.7130180345730236,AI-Augmentable Knowledge Work,0.7932877353025732,0.740052094379837,0.6125986111502146,0.06866908024010124
13-1199.05,Sustainability Specialists,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",0.6604679223936951,Mixed / Transitional,0.7523392590749093,0.6805699881966597,0.6160590914374687,0.17497846625932004
13-1199.06,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",0.658923374039725,Mixed / Transitional,0.7743501780010956,0.5078130379405492,0.4086261893259601,0.23784353045678444
13-1199.07,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",0.6303692357080346,Human-Centered Protected,0.7687594846907615,0.7422440054524012,0.6363765648071885,0.35314998250383567
13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",0.6825731378499351,Mixed / Transitional,0.824912787329812,0.6145616076581326,0.5664871651138698,0.14269467847433448
13-2022.00,Appraisers of Personal and Business Property,"Appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment. May also appraise land.",0.6587062007696778,Mixed / Transitional,0.8804875327717969,0.6109749958270884,0.36903981429301996,0.487597911227154
13-2023.00,Appraisers and Assessors of Real Estate,"Appraise real estate, exclusively, and estimate its fair value. May assess taxes in accordance with prescribed schedules.",0.6952293604855732,Mixed / Transitional,0.8428101574333514,0.5079442771121372,0.315028912067006,0.2548080805361902
13-2031.00,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",0.6755195540163964,Mixed / Transitional,0.8108968995341508,0.5991698645108218,0.5394029109844205,0.16858563699496645
13-2041.00,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,0.7206640065294998,Mixed / Transitional,0.7778572787358419,0.6170721526988243,0.4565245694845225,0.05574883583214449
13-2052.00,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",0.7266574089753726,Mixed / Transitional,0.8448601379097278,0.6672134320242427,0.5937955261834319,0.011648407849048498
13-2053.00,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,0.7145851885492479,Mixed / Transitional,0.7753184925188048,0.6354368218659531,0.43691632326278446,0.11549823692498182
13-2061.00,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",0.7200916500075238,Mixed / Transitional,0.7507112177162938,0.7186001548253893,0.5474216641161205,0.041523108395467134
13-2071.00,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",0.682531567362973,Mixed / Transitional,0.804198437251932,0.6198269137805815,0.5836059535356163,0.11029312804500549
13-2072.00,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",0.6711842204231394,Mixed / Transitional,0.7720659855568094,0.5664391586785407,0.5189737751804064,0.13479448736238595
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,0.6521094791612859,Human-Centered Protected,0.840080783462275,0.6195364561162356,0.6397650945142125,0.21141422841915428
13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses.,0.710154042327721,Mixed / Transitional,0.8457090222025795,0.5294314624095734,0.4072767311178016,0.1272475841834675
13-2099.01,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",0.7479363265077045,Mixed / Transitional,0.7769579762941731,0.6874929022088672,0.44298228103995946,0.029723291432262933
13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",0.6612587841266448,AI-Augmentable Knowledge Work,0.845131895307608,0.7004306388843999,0.6192900151116081,0.28123738257382036
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",0.6497891109378918,AI-Augmentable Knowledge Work,0.8294575722338315,0.6974985231599335,0.6448530284019081,0.28294662324028963
