O*NET-SOC Code,Title,n_tasks,n_core_tasks,n_supplemental_tasks,avg_importance,avg_relevance,avg_frequency_weighted_mean,total_task_intensity,avg_task_intensity,total_dwa_links,core_task_share
11-3031.01,Treasurers and Controllers,22,16,6,4.113181818181818,79.08318181818181,3.1118575924638945,72.221535,3.2827970454545454,31,0.7272727272727273
11-3031.03,Investment Fund Managers,20,15,5,4.047,78.4505,3.6783529199186793,64.323688,3.2161844000000004,28,0.75
11-3051.00,Industrial Production Managers,21,12,1,3.6976923076923076,84.13461538461539,4.009378288677629,40.661156,3.1277812307692305,33,0.5714285714285714
11-3051.01,Quality Control Systems Managers,27,26,1,3.8985185185185185,85.9774074074074,3.4449147288720727,90.88113799999999,3.3659680740740736,32,0.9629629629629629
11-3051.02,Geothermal Production Managers,17,13,4,3.9629411764705886,79.54529411764706,3.8914874672025803,53.597019,3.152765823529412,21,0.7647058823529411
11-3051.03,Biofuels Production Managers,14,14,0,4.057142857142857,90.90785714285714,4.398134165160842,51.896842,3.706917285714286,16,1.0
11-3051.04,Biomass Power Plant Managers,19,13,6,3.856842105263158,82.88631578947368,4.016076314077131,61.112716999999996,3.216458789473684,29,0.6842105263157895
11-3051.06,Hydroelectric Production Managers,18,16,2,3.967777777777778,85.05777777777777,3.604573133841855,60.979721,3.3877622777777776,22,0.8888888888888888
11-3061.00,Purchasing Managers,18,18,0,4.051666666666667,93.56722222222223,3.4998338492368273,68.366357,3.798130944444444,26,1.0
11-3071.00,"Transportation, Storage, and Distribution Managers",30,26,0,3.914615384615385,92.16576923076923,3.705276070449565,94.055625,3.617524038461539,42,0.8666666666666667
11-3071.04,Supply Chain Managers,30,25,5,3.627666666666667,86.03133333333334,2.7016346939330136,94.902025,3.163400833333333,38,0.8333333333333334
11-3111.00,Compensation and Benefits Managers,22,13,9,3.875,74.67545454545454,2.5002618240180725,66.008709,3.0003958636363635,31,0.5909090909090909
11-3121.00,Human Resources Managers,26,23,3,3.7569230769230773,92.64807692307691,2.927127957845601,91.323083,3.5124262692307693,37,0.8846153846153846
11-3131.00,Training and Development Managers,12,11,1,3.9616666666666664,92.47166666666668,2.905732548600742,44.618568,3.718214,18,0.9166666666666666
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",30,19,1,3.8590000000000004,84.1375,3.372193592592486,65.544952,3.2772476,44,0.6333333333333333
11-9021.00,Construction Managers,25,22,3,3.8592,89.7684,3.186189777777778,87.7234,3.508936,34,0.88
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",17,15,2,3.928235294117647,85.17294117647059,3.580803060856384,57.597758,3.388103411764706,29,0.8823529411764706
11-9032.00,"Education Administrators, Kindergarten through Secondary",32,24,8,3.8796875,77.37125,3.3860516421851146,97.043774,3.0326179375,50,0.75
11-9033.00,"Education Administrators, Postsecondary",27,12,15,3.6974074074074075,66.34962962962963,2.830318217343812,67.102475,2.485276851851852,41,0.4444444444444444
11-9041.00,Architectural and Engineering Managers,19,14,5,3.346315789473684,80.61105263157894,3.0888273668111683,51.961704999999995,2.7348265789473682,31,0.7368421052631579
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,18,10,8,3.548888888888889,65.62444444444445,3.191589174240725,42.782134,2.3767852222222223,18,0.5555555555555556
11-9051.00,Food Service Managers,28,19,9,4.173928571428571,73.3717857142857,4.263085486548962,86.150996,3.076821285714286,36,0.6785714285714286
11-9071.00,Gambling Managers,19,12,7,4.254736842105263,70.18,4.618032106587637,57.022962,3.0012085263157893,23,0.631578947368421
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",17,14,3,3.998235294117647,80.73470588235294,3.6574606315205105,55.373318000000005,3.257254,24,0.8235294117647058
11-9081.00,Lodging Managers,24,22,2,4.142083333333333,84.895,4.514981394626897,85.060791,3.5441996249999996,34,0.9166666666666666
11-9111.00,Medical and Health Services Managers,18,17,1,3.9766666666666666,87.50055555555555,3.47375567030639,62.859027,3.4921681666666666,31,0.9444444444444444
11-9121.00,Natural Sciences Managers,16,14,2,3.795,83.3125,3.250744497060445,50.91993,3.182495625,31,0.875
11-9121.01,Clinical Research Coordinators,33,26,7,3.9381818181818184,75.16272727272727,3.420215221103211,98.879144,2.9963376969696967,39,0.7878787878787878
11-9121.02,Water Resource Specialists,21,20,1,3.505714285714286,93.07190476190476,2.4753241228705747,69.013316,3.286348380952381,26,0.9523809523809523
11-9131.00,Postmasters and Mail Superintendents,13,8,5,4.1269230769230765,70.48692307692308,4.11834426205375,39.167972,3.012920923076923,17,0.6153846153846154
11-9141.00,"Property, Real Estate, and Community Association Managers",27,17,10,3.9722222222222223,77.22222222222223,3.1756350443523953,84.265,3.120925925925926,34,0.6296296296296297
11-9151.00,Social and Community Service Managers,16,12,4,3.915625,77.901875,3.4042972786479107,49.390134,3.086883375,22,0.75
11-9161.00,Emergency Management Directors,23,21,2,3.8552173913043477,94.66347826086958,2.1908640213824664,84.977603,3.6946783913043477,30,0.9130434782608695
11-9171.00,Funeral Home Managers,23,23,0,3.978695652173913,90.83826086956523,3.410826381696526,83.736251,3.6407065652173913,30,1.0
11-9179.01,Fitness and Wellness Coordinators,24,22,2,3.82625,91.34541666666667,3.348149297273198,84.713634,3.52973475,27,0.9166666666666666
11-9179.02,Spa Managers,21,21,0,4.081428571428571,90.75333333333333,3.9613886207274835,77.900871,3.7095652857142856,23,1.0
11-9199.01,Regulatory Affairs Managers,27,26,1,3.867037037037037,92.75296296296295,2.8230615087452446,97.594569,3.614613666666667,37,0.9629629629629629
11-9199.02,Compliance Managers,29,20,9,3.9496551724137934,72.49206896551723,2.9905081647487757,84.387697,2.909920586206897,40,0.6896551724137931
11-9199.08,Loss Prevention Managers,27,26,1,3.8,90.90777777777777,3.5411240747761665,93.483154,3.462339037037037,31,0.9629629629629629
11-9199.09,Wind Energy Operations Managers,16,16,0,3.983125,96.07625,3.708504284354293,61.330455,3.8331534375,18,1.0
11-9199.10,Wind Energy Development Managers,15,15,0,3.720666666666667,92.466,3.1403523215373865,51.786243,3.4524162,16,1.0
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,23,20,3,3.6208695652173915,87.46347826086956,2.4217363816562334,73.67548,3.2032817391304347,30,0.8695652173913043
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",14,9,5,3.7214285714285715,77.18785714285715,3.9089471492623287,41.500807,2.9643433571428575,17,0.6428571428571429
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12,6,6,3.6875,68.82583333333334,4.40172603863276,31.33075,2.610895833333333,13,0.5
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20,10,10,3.5869999999999997,69.869,3.5359990556241407,51.909799,2.59548995,24,0.5
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",19,17,2,3.9205263157894734,95.0,3.4934324616764822,71.2505,3.7500263157894738,24,0.8947368421052632
13-1031.00,"Claims Adjusters, Examiners, and Investigators",29,21,6,4.271481481481481,80.82925925925926,4.491364322398532,94.943214,3.5164153333333332,34,0.7241379310344828
13-1032.00,"Insurance Appraisers, Auto Damage",7,7,0,4.428571428571429,92.83857142857143,5.077804104553327,29.034814,4.147830571428572,9,1.0
13-1041.00,Compliance Officers,16,6,6,4.315,64.13333333333334,4.6327343049028435,33.146004999999995,2.762167083333333,21,0.375
13-1041.01,Environmental Compliance Inspectors,26,15,11,3.9584615384615387,70.0,3.2334879173667597,73.9885,2.8457115384615386,42,0.5769230769230769
13-1041.03,Equal Opportunity Representatives and Officers,18,11,7,4.054444444444445,70.97222222222223,3.406698135931314,53.542685,2.974593611111111,21,0.6111111111111112
13-1041.04,Government Property Inspectors and Investigators,13,3,10,3.743846153846154,54.159230769230774,3.2411090506783213,26.866073,2.066621,14,0.23076923076923078
13-1041.06,Coroners,20,19,1,4.592499999999999,94.421,4.593927843728778,87.246902,4.362345100000001,23,0.95
13-1041.07,Regulatory Affairs Specialists,30,24,6,3.799,84.16666666666667,3.0187952914551532,99.6165,3.32055,36,0.8
13-1041.08,Customs Brokers,23,21,2,3.9743478260869565,95.0,4.5538470596932275,87.5975,3.808586956521739,23,0.9130434782608695
13-1051.00,Cost Estimators,14,14,0,3.869285714285714,91.88214285714285,3.0013809299589522,49.984904,3.570350285714286,18,1.0
13-1071.00,Human Resources Specialists,26,19,7,4.067692307692308,75.9326923076923,3.3220080462821957,80.515579,3.0967530384615385,31,0.7307692307692307
13-1074.00,Farm Labor Contractors,7,6,1,4.227142857142857,88.15142857142857,4.396258128796724,26.132638,3.733234,8,0.8571428571428571
13-1075.00,Labor Relations Specialists,28,20,8,3.6592857142857143,76.82785714285714,2.5859463361853017,80.238954,2.8656769285714287,28,0.7142857142857143
13-1081.00,Logisticians,22,22,0,3.804090909090909,93.18045454545454,3.4665273918065465,78.320067,3.560003045454545,24,1.0
13-1081.01,Logistics Engineers,30,29,1,3.5959999999999996,89.54466666666667,2.5945179297681125,97.133259,3.2377753,34,0.9666666666666667
13-1081.02,Logistics Analysts,31,22,9,3.7638709677419357,78.88516129032259,3.8458131769055193,93.732755,3.023637258064516,33,0.7096774193548387
13-1082.00,Project Management Specialists,20,0,0,,,,0.0,,22,0.0
13-1111.00,Management Analysts,11,10,1,3.950909090909091,93.01,3.0799228596752286,40.785147,3.7077406363636367,15,0.9090909090909091
13-1121.00,"Meeting, Convention, and Event Planners",21,16,5,3.958571428571428,76.91809523809523,3.6218822679086795,65.291759,3.109131380952381,26,0.7619047619047619
13-1131.00,Fundraisers,28,24,4,3.7889285714285714,85.91,3.32132162470968,92.24423,3.2944367857142858,30,0.8571428571428571
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",22,6,16,3.433636363636364,56.49409090909091,2.7846879887988796,44.339545,2.0154338636363636,26,0.2727272727272727
13-1151.00,Training and Development Specialists,20,18,2,3.8549999999999995,90.17699999999999,3.205462194280572,70.438222,3.5219110999999996,27,0.9
13-1161.00,Market Research Analysts and Marketing Specialists,13,13,0,3.986923076923077,95.22538461538463,3.0945673312094635,49.43132,3.8024092307692308,15,1.0
13-1161.01,Search Marketing Strategists,36,25,11,3.516111111111111,88.40555555555555,3.079830143154357,114.26703,3.174084166666667,44,0.6944444444444444
13-1199.04,Business Continuity Planners,21,19,2,4.06047619047619,92.32904761904763,2.539797764439168,78.689562,3.7471219999999996,25,0.9047619047619048
13-1199.05,Sustainability Specialists,14,14,0,3.834285714285714,98.75714285714285,3.132609316056022,53.06752,3.790537142857143,17,1.0
13-1199.06,Online Merchants,34,24,10,3.9535294117647055,73.16647058823528,3.9014575520597283,99.34314,2.9218570588235298,36,0.7058823529411765
13-1199.07,Security Management Specialists,23,22,1,3.7517391304347827,90.43478260869566,2.6163609444617397,78.3235,3.405369565217391,28,0.9565217391304348
13-2011.00,Accountants and Auditors,29,20,5,4.1476,82.08879999999999,2.6575012329236922,85.788794,3.4315517599999996,40,0.6896551724137931
13-2022.00,Appraisers of Personal and Business Property,14,13,1,4.315714285714286,92.85714285714286,3.740559527618667,56.719115,4.051365357142857,18,0.9285714285714286
13-2023.00,Appraisers and Assessors of Real Estate,28,21,7,3.9403571428571427,83.385,4.152012967537344,94.173939,3.3633549642857146,30,0.75
13-2031.00,Budget Analysts,13,12,1,3.9676923076923076,87.18692307692308,3.3466636672424057,45.17618,3.4750907692307695,15,0.9230769230769231
13-2041.00,Credit Analysts,11,7,4,4.0627272727272725,80.45454545454545,4.341806123443697,36.8535,3.3503181818181815,13,0.6363636363636364
13-2051.00,Financial and Investment Analysts,26,0,0,,,,0.0,,32,0.0
13-2052.00,Personal Financial Advisors,21,17,4,3.8352380952380956,90.05047619047619,2.9504852338993177,73.767591,3.5127424285714284,22,0.8095238095238095
13-2053.00,Insurance Underwriters,7,7,0,4.197142857142857,95.71428571428571,4.928601164477349,28.176322,4.025188857142857,8,1.0
13-2054.00,Financial Risk Specialists,30,0,0,,,,0.0,,35,0.0
13-2061.00,Financial Examiners,17,16,1,3.918823529411765,89.76941176470588,2.7344581897127,60.382319,3.551901117647059,19,0.9411764705882353
13-2071.00,Credit Counselors,23,21,2,4.326086956521739,92.8395652173913,4.8317498801188155,92.702864,4.030559304347826,24,0.9130434782608695
13-2072.00,Loan Officers,30,14,3,3.988235294117647,82.49,4.026994767458007,56.760166,3.338833294117647,32,0.4666666666666667
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",21,6,15,4.215714285714286,54.46619047619048,4.2147968831545874,48.894744,2.328321142857143,25,0.2857142857142857
13-2082.00,Tax Preparers,12,12,0,4.360833333333333,98.01666666666667,4.908605978053893,51.349916,4.279159666666667,13,1.0
13-2099.01,Financial Quantitative Analysts,21,13,8,3.2952380952380955,88.80952380952381,2.670531811725826,63.043,3.002047619047619,21,0.6190476190476191
13-2099.04,"Fraud Examiners, Investigators and Analysts",23,21,2,4.211304347826087,87.55782608695652,3.141072400711637,85.362306,3.7114046086956525,29,0.9130434782608695
15-1211.00,Computer Systems Analysts,22,18,4,3.494090909090909,81.31,3.4145764410119654,62.85486,2.857039090909091,29,0.8181818181818182
15-1211.01,Health Informatics Specialists,17,16,1,3.9811764705882355,97.75941176470589,3.554464395268938,66.498769,3.9116922941176466,26,0.9411764705882353
15-1212.00,Information Security Analysts,11,11,0,4.047272727272728,89.25272727272727,3.661457260099482,39.698501,3.6089546363636362,12,1.0
15-1221.00,Computer and Information Research Scientists,15,11,4,3.4686666666666666,78.06266666666667,3.49124827080696,40.889787,2.7259857999999997,18,0.7333333333333333
15-1231.00,Computer Network Support Specialists,26,26,0,3.7973076923076925,86.64307692307692,3.640765168696767,85.801301,3.300050038461538,32,1.0
15-1232.00,Computer User Support Specialists,16,13,3,3.469375,88.588125,3.989327178563729,49.767929,3.1104955625,25,0.8125
15-1241.00,Computer Network Architects,33,30,3,3.5972727272727276,93.48484848484848,3.0397536477979004,111.608,3.382060606060606,43,0.9090909090909091
15-1241.01,Telecommunications Engineering Specialists,26,21,5,3.866153846153846,86.05346153846153,3.1091085732749315,86.816863,3.3391101153846154,33,0.8076923076923077
15-1242.00,Database Administrators,18,15,3,3.373333333333333,89.315,3.001758540688752,54.421222,3.023401222222222,27,0.8333333333333334
15-1243.00,Database Architects,25,24,1,3.7864,97.5244,3.389038206734902,92.676255,3.7070502,35,0.96
15-1243.01,Data Warehousing Specialists,18,18,0,3.839444444444444,97.10055555555556,3.18988798564588,67.25156,3.7361977777777775,24,1.0
15-1244.00,Network and Computer Systems Administrators,20,17,3,3.5725000000000002,86.69800000000001,3.699028588844879,62.118174,3.1059087,34,0.85
15-1251.00,Computer Programmers,17,13,4,3.621176470588235,81.01176470588236,3.92370909029362,50.827666,2.989862705882353,25,0.7647058823529411
15-1252.00,Software Developers,17,11,6,3.5658823529411765,75.60235294117648,3.8421796234465613,46.096372,2.711551294117647,22,0.6470588235294118
15-1253.00,Software Quality Assurance Analysts and Testers,30,27,0,3.9307407407407404,95.53407407407407,3.866490835711135,101.77151500000001,3.7693153703703706,41,0.9
15-1254.00,Web Developers,29,23,4,3.6311111111111107,93.20962962962962,3.135275055425599,91.70802,3.3965933333333336,37,0.7931034482758621
15-1255.00,Web and Digital Interface Designers,30,0,0,,,,0.0,,44,0.0
15-1255.01,Video Game Designers,24,24,0,3.93625,97.08333333333333,3.5311701275705762,91.8485,3.8270208333333335,27,1.0
15-1299.01,Web Administrators,35,34,1,3.898285714285714,91.24799999999999,3.2566254900727976,124.58119,3.5594625714285715,48,0.9714285714285714
15-1299.02,Geographic Information Systems Technologists and Technicians,29,25,1,3.832692307692308,93.44500000000001,3.7693266201093567,93.405653,3.5925251153846154,40,0.8620689655172413
15-1299.03,Document Management Specialists,23,22,1,3.8330434782608696,88.08434782608695,3.1008078528865566,77.948855,3.389080652173913,26,0.9565217391304348
15-1299.04,Penetration Testers,22,0,0,,,,0.0,,23,0.0
15-1299.05,Information Security Engineers,20,20,0,4.007,93.15849999999999,3.637919379918538,74.68942799999999,3.7344713999999994,26,1.0
15-1299.06,Digital Forensics Analysts,20,0,0,,,,0.0,,26,0.0
15-1299.07,Blockchain Engineers,17,0,0,,,,0.0,,19,0.0
15-1299.08,Computer Systems Engineers/Architects,28,27,1,3.7175000000000002,93.28964285714287,3.3427130494478092,97.723477,3.4901241785714285,37,0.9642857142857143
15-1299.09,Information Technology Project Managers,21,21,0,4.055238095238095,98.39047619047618,3.7924859666417166,83.80464,3.990697142857143,25,1.0
15-2011.00,Actuaries,15,12,3,3.5493333333333337,84.62933333333334,2.823700461719071,46.275150000000004,3.08501,16,0.8
15-2021.00,Mathematicians,12,11,1,3.8049999999999997,91.66666666666667,3.5711208915331807,42.2595,3.5216250000000002,16,0.9166666666666666
15-2031.00,Operations Research Analysts,17,17,0,4.143529411764706,98.04,3.1967753490754003,69.136712,4.066865411764706,22,1.0
15-2041.00,Statisticians,19,18,1,4.084210526315789,94.98842105263158,3.722507483463812,74.210251,3.9058026842105265,27,0.9473684210526315
15-2041.01,Biostatisticians,25,25,0,3.9812,90.66680000000001,2.7877402347619227,90.975824,3.63903296,30,1.0
15-2051.00,Data Scientists,16,0,0,,,,0.0,,17,0.0
15-2051.01,Business Intelligence Analysts,17,17,0,3.732941176470588,96.21823529411765,3.670343580454992,61.219039,3.6011199411764707,18,1.0
15-2051.02,Clinical Data Managers,21,19,2,3.7285714285714286,93.0952380952381,3.1809872402112056,73.111,3.4814761904761906,26,0.9047619047619048
15-2099.01,Bioinformatics Technicians,19,11,8,3.6231578947368424,73.98315789473685,3.363261213283191,51.278242999999996,2.698854894736842,22,0.5789473684210527
17-1011.00,"Architects, Except Landscape and Naval",24,19,5,3.73375,94.04791666666667,3.342433646658337,85.310838,3.5546182500000003,25,0.7916666666666666
17-1012.00,Landscape Architects,19,19,0,3.9636842105263157,97.89473684210526,3.3924462604155154,73.8615,3.887447368421053,20,1.0
17-1021.00,Cartographers and Photogrammetrists,14,11,3,4.03,77.66071428571429,4.3319604861395336,44.290026,3.1635732857142855,15,0.7857142857142857
17-1022.00,Surveyors,24,21,3,4.0216666666666665,87.76333333333334,3.672135175232477,86.919172,3.6216321666666667,26,0.875
17-1022.01,Geodetic Surveyors,16,16,0,4.13875,94.44624999999999,3.687185801040296,62.658266,3.916141625,16,1.0
17-2011.00,Aerospace Engineers,16,10,4,3.5485714285714285,72.725,3.328216679539167,37.060197,2.647156928571429,18,0.625
17-2021.00,Agricultural Engineers,14,12,2,3.612142857142857,84.47357142857143,3.205215948804802,42.93392,3.0667085714285713,20,0.8571428571428571
17-2031.00,Bioengineers and Biomedical Engineers,30,23,7,3.496666666666667,82.75366666666667,2.7231433023469056,88.306561,2.9435520333333334,33,0.7666666666666667
17-2041.00,Chemical Engineers,14,14,0,3.657857142857143,90.68285714285715,2.898134875971777,46.734125,3.3381517857142855,18,1.0
17-2051.00,Civil Engineers,16,11,5,3.59125,73.5125,3.336709596393081,43.179,2.6986875,19,0.6875
17-2051.01,Transportation Engineers,26,23,3,3.661153846153846,89.85961538461538,2.8705180176153724,86.086265,3.311010192307692,29,0.8846153846153846
17-2051.02,Water/Wastewater Engineers,28,27,1,3.75,82.29035714285715,2.5175815348011725,86.823933,3.10085475,32,0.9642857142857143
17-2061.00,Computer Hardware Engineers,18,15,3,3.6205555555555557,94.93,3.0366775936661092,62.353007,3.4640559444444445,22,0.8333333333333334
17-2071.00,Electrical Engineers,22,16,6,3.6295454545454544,71.88409090909092,3.1186795254694273,58.097893,2.6408133181818183,32,0.7272727272727273
17-2072.00,"Electronics Engineers, Except Computer",20,13,7,3.339,78.1875,3.332927753015325,53.598482,2.6799241,26,0.65
17-2072.01,Radio Frequency Identification Device Specialists,21,21,0,3.765238095238095,89.95380952380953,3.2068252009630926,71.34612,3.3974342857142856,23,1.0
17-2081.00,Environmental Engineers,29,28,1,3.7551724137931037,91.9548275862069,2.7510772094210476,100.398981,3.462033827586207,37,0.9655172413793104
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",27,23,2,3.8468,88.79,2.9380110023174297,86.30733,3.4522931999999997,33,0.8518518518518519
17-2111.02,Fire-Prevention and Protection Engineers,14,14,0,3.7892857142857146,95.60428571428572,3.0140447088255904,50.833006000000005,3.6309290000000005,20,1.0
17-2112.00,Industrial Engineers,20,18,2,3.5355,79.7645,3.4601954831034716,56.857927,2.8428963499999997,24,0.9
17-2112.01,Human Factors Engineers and Ergonomists,26,26,0,4.014230769230769,92.11538461538461,2.89849428300202,96.6195,3.7161346153846155,28,1.0
17-2112.02,Validation Engineers,21,20,1,3.8566666666666665,94.88714285714286,3.0389292123393394,77.262118,3.679148476190476,23,0.9523809523809523
17-2112.03,Manufacturing Engineers,24,23,1,3.682916666666667,92.5,3.194263049976214,82.075132,3.4197971666666667,31,0.9583333333333334
17-2121.00,Marine Engineers and Naval Architects,30,23,7,3.5593333333333335,77.52433333333333,2.752624742846881,82.867798,2.762259933333333,37,0.7666666666666667
17-2131.00,Materials Engineers,21,20,1,3.776666666666667,90.93095238095238,3.4579193569995548,72.359554,3.4456930476190477,27,0.9523809523809523
17-2141.00,Mechanical Engineers,28,16,12,3.5475,66.93285714285715,3.7816110432993026,67.384124,2.4065758571428573,39,0.5714285714285714
17-2141.01,Fuel Cell Engineers,26,25,1,3.623076923076923,95.62884615384615,3.398435832293785,90.457705,3.4791425,30,0.9615384615384616
17-2141.02,Automotive Engineers,25,25,0,3.7004,89.714,3.079538083134701,83.26409,3.3305635999999996,30,1.0
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",18,9,9,3.7344444444444442,66.77833333333334,2.6968878026280447,45.405902,2.522550111111111,30,0.5
17-2161.00,Nuclear Engineers,20,20,0,3.8939999999999997,87.618,2.4518899795019498,68.284832,3.4142415999999995,22,1.0
17-2171.00,Petroleum Engineers,23,13,10,3.744782608695652,68.10565217391304,3.2892924867090123,59.116525,2.570283695652174,27,0.5652173913043478
17-2199.03,"Energy Engineers, Except Wind and Solar",21,20,1,3.7304761904761907,91.77238095238096,2.779057958421532,72.05843300000001,3.431353952380953,22,0.9523809523809523
17-2199.05,Mechatronics Engineers,23,15,8,3.6030434782608696,68.74826086956521,3.486241468739589,57.613245,2.504923695652174,30,0.6521739130434783
17-2199.06,Microsystems Engineers,31,8,17,3.5112,63.5576,2.6613782233567687,55.995764,2.23983056,35,0.25806451612903225
17-2199.07,Photonics Engineers,26,19,7,3.3123076923076926,82.44,2.6269273501541965,73.007898,2.807996076923077,35,0.7307692307692307
17-2199.08,Robotics Engineers,24,20,4,3.6304166666666666,81.25,3.1985342520007176,71.436359,2.976514958333333,28,0.8333333333333334
17-2199.09,Nanosystems Engineers,25,17,8,3.3731999999999998,84.7616,3.38808200914726,73.060288,2.92241152,28,0.68
17-2199.10,Wind Energy Engineers,16,3,13,3.3475,53.694375,2.5692751609025017,28.882878,1.805179875,16,0.1875
17-2199.11,Solar Energy Systems Engineers,13,11,2,3.7507692307692304,88.18769230769232,3.3844169065217073,44.558343,3.4275648461538464,15,0.8461538461538461
17-3011.00,Architectural and Civil Drafters,28,22,3,3.7256,83.39119999999998,3.785673250545013,79.12194099999999,3.16487764,37,0.7857142857142857
17-3012.00,Electrical and Electronics Drafters,30,17,10,3.7340740740740737,70.83111111111111,4.107050136929273,73.373953,2.717553814814815,33,0.5666666666666667
17-3013.00,Mechanical Drafters,15,14,1,3.8973333333333335,84.99600000000001,4.375829057072024,50.66514,3.377676,15,0.9333333333333333
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,11,8,3,4.329090909090909,73.27454545454545,3.725377666345503,35.104984,3.191362181818182,16,0.7272727272727273
17-3022.00,Civil Engineering Technologists and Technicians,14,7,7,3.8757142857142854,68.12214285714286,3.5767724872916853,37.221965,2.6587117857142855,16,0.5
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,30,23,3,3.7119230769230773,84.31692307692308,3.6923903701851346,81.674159,3.141313807692308,41,0.7666666666666667
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,28,12,14,3.799615384615385,65.01615384615386,3.8621706767668225,65.265063,2.5101947307692307,37,0.42857142857142855
17-3024.01,Robotics Technicians,22,15,7,3.7240909090909096,76.03272727272727,3.0468638438413653,63.294672,2.8770305454545455,28,0.6818181818181818
17-3025.00,Environmental Engineering Technologists and Technicians,26,12,14,3.6915384615384617,65.345,3.2938896172198993,63.550266,2.444241,32,0.46153846153846156
17-3026.00,Industrial Engineering Technologists and Technicians,30,6,1,3.4514285714285715,70.76571428571428,3.8945495098548233,17.14714,2.4495914285714284,36,0.2
17-3026.01,Nanotechnology Engineering Technologists and Technicians,25,19,6,3.7332,76.4,3.1197954024170604,72.8605,2.9144200000000002,26,0.76
17-3027.00,Mechanical Engineering Technologists and Technicians,30,19,7,3.496923076923077,74.40038461538461,3.433856424167372,68.212718,2.6235660769230766,38,0.6333333333333333
17-3027.01,Automotive Engineering Technicians,18,18,0,3.7994444444444446,95.26888888888888,3.9467234696482345,65.325771,3.6292095,20,1.0
17-3028.00,Calibration Technologists and Technicians,15,0,0,,,,0.0,,18,0.0
17-3029.01,Non-Destructive Testing Specialists,16,15,1,4.469375,90.218125,5.221917173315001,64.863115,4.0539446875,18,0.9375
17-3029.08,Photonics Technicians,24,11,13,3.6183333333333336,64.83666666666666,3.4287549904657166,57.086445,2.3786018749999998,30,0.4583333333333333
17-3031.00,Surveying and Mapping Technicians,30,17,2,3.895263157894737,82.2421052631579,4.232796677021644,61.268924,3.2246802105263157,31,0.5666666666666667
19-1011.00,Animal Scientists,9,7,2,4.017777777777777,87.92333333333333,3.6676495716238287,32.668028,3.629780888888889,10,0.7777777777777778
19-1012.00,Food Scientists and Technologists,13,13,0,3.8938461538461535,98.94999999999999,3.420515025630626,50.12314,3.8556261538461536,13,1.0
